,id,text,author_id,created_at,lang,source,retweet_count,reply_count,like_count,quote_count,pontuacao,palavras
7734,1516845070900736011,"This is Nadine Dorries, Tory MP for Mid-Bedfordshire and Minister for Digital, Culture, Media and Sport.

When asked what sort of Tory she was (hard-right or centre-right), she replied:

""I'm a bit more UKIP-y"".

No wonder she wants to sell progressive media like Channel 4. https://t.co/u1mU81ptCQ",1508063324012961795,2022-04-20 18:23:41+00:00,en,Twitter Web App,23,3,36,3,87,"['like', 'wonder', 'asked', 'bit', 'progressive', 'wants', 'sort', 'media', 'sell']"
7743,1516887240194113541,🥇GOLD🥇for Team England Youth All Girl Median!!!!!! 🙌🏽🏴󠁧󠁢󠁥󠁮󠁧󠁿♥ https://t.co/SyX8svfch2,1225358643639525376,2022-04-20 21:11:15+00:00,en,Twitter for Android,2,0,9,3,0,[]
7744,1516724502276849667,"❌ 𝗦𝗶𝗺𝗼𝗻: “I don’t think Whyte can beat Fury, Usyk or Anthony Joshua.”

✅ 𝗚𝗮𝗿𝗲𝘁𝗵: “Whyte can beat AJ right now… he will go on to be a champion.” 

Simon Jordan and @GarethADaviesDT discuss whether @DillianWhyte can go on to be a world champion 🥊 https://t.co/0D9sej3e9M",15332636,2022-04-20 10:24:35+00:00,en,Twitter Media Studio,35,81,231,51,137,"['champion', 'go', 'right', 'whether', 'think', 'world', 'now…', 'discuss', 'beat', 'don’t']"
7753,1516776353894477830,At least he hashtagged the show... https://t.co/RkND8qE8Gs,1496196953184649218,2022-04-20 13:50:37+00:00,en,Twitter Web App,0,1,0,0,6,"['hashtagged', 'least']"
7762,1516839119783030789,"Sexy&amp;Wild Leopard Print Sport Sets. Just like a princess.
#gymgear #Activewear #Gymsweaty https://t.co/l4cWcRq238",1342021475872563201,2022-04-20 18:00:02+00:00,en,Twitter Web App,0,0,0,0,35,['like']
7771,1516805466223005703,"""Who'd have thought it.. Mr Goldenbollocks knocked out by a middleweight, where is he now?""

@Tyson_fury couldn't resist a shot at Anthony Joshua 👀

#FuryWhyte | Saturday | BT Sport Box Office https://t.co/oMs9pD5fRO",198867393,2022-04-20 15:46:18+00:00,en,Grabyo,54,22,736,12,12,"['knocked', 'shot', 'resist', 'thought']"
7780,1516878166651981831,Unstoppable #MCIBHA https://t.co/qY8eQRAI68,1196217565653164033,2022-04-20 20:35:11+00:00,en,Twitter for Android,0,0,3,0,0,[]
7781,1516800158394195977,Please sport imran Khan https://t.co/dZI6EZ7wjR,1515490806148341769,2022-04-20 15:25:13+00:00,en,Twitter for Android,0,0,0,0,535,"['imran', 'sport']"
7785,1516719821165142018,"Sebastian Vettel’s 2013 season:

Points: 397
Wins: 13
Podiums: 16
Wins consecutively : 9
Pole positions: 9
Fastest laps: 7

His teammate failed to win a single race and scored only 199 points. 

Potentially the greatest individual season in sport’s history. 🐐 https://t.co/DK3uD31R3B",875624465303912454,2022-04-20 10:05:59+00:00,en,Twitter for iPhone,126,22,1261,17,77,"['individual', 'failed', 'single', 'sport’s', 'consecutively', 'scored', 'greatest', 'teammate', 'win', 'race', 'season']"
7789,1516846007161659394,That was one the tides had changed and the dark ages began https://t.co/46YONxaLbd,865171086475972608,2022-04-20 18:27:24+00:00,en,Twitter for iPhone,0,0,1,1,50,"['changed', 'began', 'one', 'ages', 'tides', 'dark']"
7793,1516838135338090500,Plz sport pti https://t.co/DlE1IvHaz3,1459564347462762499,2022-04-20 17:56:07+00:00,en,Twitter for Android,0,0,0,0,535,"['pti', 'sport']"
7797,1516841145518678019,"Life doesn’t have to be perfect to be wonderful. 

Hey there ! Good Evening peeps! 🤗🥰❤️

0500258178 📞📱
#sport 
#sports
#massage_in_riyadh 
#MassageFullBodyMassage 
#massage_riyadh 
#MassagesRiyadh 
#riyadh_massage_vip
#massage https://t.co/1TI0v8TCzg",1316821187117412354,2022-04-20 18:08:05+00:00,en,Twitter for iPhone,3,0,21,0,4,"['perfect', 'doesn’t']"
7801,1516767265873707019,"🍿 @Tyson_Fury and @DillianWhyte are in the building!

Watch the #FuryWhyte on YouTube now 👉 https://t.co/xqGma0RhdD https://t.co/4j4VSqU36F",198867393,2022-04-20 13:14:31+00:00,en,Grabyo,60,5,370,12,0,[]
7805,1516790873996120065,"𝗦𝘂𝗽𝗲𝗿 𝗢𝗱𝗱𝘀 𝗯𝗲𝘁𝘁𝗲𝗿 𝘁𝗵𝗮𝗻 𝗲𝘃𝗲𝗿? 𝗨𝗽 𝘁𝗼 𝘆𝗼𝘂!

1. Pick Your Super Odds Matches here https://t.co/yWzZRsWtTy

2. Like, Retweet &amp; Share your thoughts with us to win ₦𝟏𝟎𝟎𝟎

More Top 5 games  https://t.co/cMfUvgYIzF

#MSportSuperOdds

1/3 https://t.co/lENwU1KRgv",1186904443469459456,2022-04-20 14:48:19+00:00,en,TweetDeck,40,48,44,1,71,"['us', 'games', 'thoughts', 'win']"
7809,1516698021819564036,"I was against Djokovic being barred from AO. 

I am against Russians being barred from Wimbledon. 

Keep politics out of sport.",1149959365664882688,2022-04-20 08:39:21+00:00,en,Twitter for iPhone,134,73,1160,9,8,"['barred', 'politics']"
7813,1516695941234913285,Everyday is a New Beginning https://t.co/xxZhZU0aZe,1515373148694216704,2022-04-20 08:31:05+00:00,en,Twitter for iPhone,0,0,0,0,0,[]
7814,1516713965497294852,"""We must keep in mind that these players are children. Despite their sporting talent being beyond their years, their emotional and psychological well being is not""

@colnoc77 nailing it again with an excellent piece on children in sport.
https://t.co/an9E2GA0Z2",527658455,2022-04-20 09:42:43+00:00,en,Twitter for Android,25,0,89,3,75,"['beyond', 'players', 'emotional', 'keep', 'talent', 'children', 'well']"
7815,1516828793079570437,"The nominees for the Female Multi-Sport Athlete of the Year at the 2022 Dutchies are...

#GoDutch #rollrivers https://t.co/HYLwlr0HRB",70768179,2022-04-20 17:19:00+00:00,en,TweetDeck,7,0,29,2,0,[]
7816,1516856349342281728,Sport is a handsome dude. https://t.co/xDIdkh46nl,2293940731,2022-04-20 19:08:30+00:00,en,Twitter for iPhone,44,37,1205,4,0,[]
7817,1516844258380103682,Emotional damage. https://t.co/Fja0zTnKt8,1516423538240016391,2022-04-20 18:20:27+00:00,en,Twitter for Android,0,0,0,0,0,[]
7818,1516807353596841984,"""Sometimes my head wants my body to do what it can't."" 😤

John Fury reacts to clash with @DeanWhyte8.

#FuryWhyte | Saturday | BT Sport Box Office https://t.co/i57QW6JRD3",17335257,2022-04-20 15:53:48+00:00,en,Twitter Media Studio,38,84,313,37,4,['wants']
7819,1516809857919238150,"🆙 #WheelieWednesday by @PieroRicciuti55  🇮🇹  

Mr 💯/💯 in the European Online Challenge standings still celebrates his great start of the 2022 season 👏 🏍️ 

#eSports #MotoGP https://t.co/NDtt1X4bAJ",862960232301035521,2022-04-20 16:03:45+00:00,en,Grabyo,3,0,7,1,99,"['start', 'great', 'still', 'season']"
7820,1516858703382818829,The disrespect shown to Anthony joshua. crazy. No sport quite like it 🤦🏽‍♂️ https://t.co/OxBHN4O2Ck,260961646,2022-04-20 19:17:51+00:00,en,Twitter for iPhone,76,189,1270,19,558,"['like', 'sport']"
7821,1516838007999012877,Just unlocked a memory https://t.co/xM2PWiLDkH https://t.co/VMGVxlbnFC,865171086475972608,2022-04-20 17:55:37+00:00,en,Twitter for iPhone,33,0,41,2,0,[]
7822,1516699723733909507,Yesterday’s winnings 💰😮‍💨 https://t.co/wsZILArb2Y,3490342167,2022-04-20 08:46:07+00:00,en,Twitter for iPhone,0,0,1,0,0,[]
7823,1516824011816251393,"We are a real-world solution that combines #gaming, #sport, and #blockchain. https://t.co/axPIGTBBDt",1352338392462200832,2022-04-20 17:00:00+00:00,en,TweetDeck,43,9,74,0,0,[]
